Model,RMSE,MAE,R²,MAPE (%)
Random Forest,1.5645473426314587,1.1413207064853328,0.23900514647403814,32.267604995468844
SVR,1.6678245943826766,1.2694022953572697,0.1352211712343464,34.709627340614986
Decision Tree,1.7066046421567935,1.3247140231149712,0.0945381716603153,35.983237337004894
CNN,1.7094063172548981,1.3142909152835023,0.09156279928468503,36.13437370096889
LSTM,1.749841526579604,1.354951453564214,0.04807717834859804,36.628292740495425
